,P_kbar,T_K,XH2O,V
581,1.0,910.2564103,0.538461538,80.40626166
582,1.0,910.2564103,0.564102564,79.24559118
583,1.0,910.2564103,0.58974359,78.05727579
584,1.0,910.2564103,0.615384615,76.84008916
585,1.0,910.2564103,0.641025641,75.59272508
586,1.0,910.2564103,0.666666667,74.31379539
587,1.0,910.2564103,0.692307692,73.00181956
588,1.0,910.2564103,0.717948718,71.65522767
589,1.0,910.2564103,0.743589744,70.27235538
590,1.0,910.2564103,0.769230769,68.85144701
591,1.0,910.2564103,0.794871795,67.39066189
592,1.0,910.2564103,0.820512821,65.88808853
593,1.0,910.2564103,0.846153846,64.3417701
594,1.0,910.2564103,0.871794872,62.74974657
