X-Axis	BL1_MI1_H2O_quant
 2.540600291E+03	 1.107300049E+03
 2.544321397E+03	 1.099400024E+03
 2.548040738E+03	 1.091800049E+03
 2.551758315E+03	 1.098599976E+03
 2.555474130E+03	 1.099300049E+03
 2.559188184E+03	 1.099400024E+03
 2.562900478E+03	 1.099699951E+03
 2.566611013E+03	 1.099000000E+03
 2.570319791E+03	 1.101699951E+03
 2.574026813E+03	 1.097000000E+03
 2.577732080E+03	 1.097599976E+03
 2.581435594E+03	 1.097900024E+03
 2.585137355E+03	 1.101500000E+03
 2.588837366E+03	 1.090599976E+03
 2.592535627E+03	 1.099099976E+03
 2.596232140E+03	 1.093500000E+03
 2.599926906E+03	 1.101199951E+03
 2.603619926E+03	 1.099199951E+03
 2.607311201E+03	 1.094699951E+03
 2.611000734E+03	 1.088000000E+03
 2.614688524E+03	 1.085300049E+03
 2.618374574E+03	 1.095599976E+03
 2.622058885E+03	 1.096099976E+03
 2.625741457E+03	 1.098000000E+03
 2.629422293E+03	 1.097500000E+03
 2.633101393E+03	 1.095000000E+03
 2.636778759E+03	 1.094900024E+03
 2.640454391E+03	 1.093300049E+03
 2.644128292E+03	 1.095000000E+03
 2.647800463E+03	 1.100900024E+03
 2.651470904E+03	 1.095599976E+03
 2.655139617E+03	 1.093699951E+03
 2.658806604E+03	 1.101199951E+03
 2.662471865E+03	 1.091300049E+03
 2.666135402E+03	 1.089400024E+03
 2.669797216E+03	 1.092000000E+03
 2.673457308E+03	 1.094300049E+03
 2.677115680E+03	 1.098500000E+03
 2.680772333E+03	 1.092900024E+03
 2.684427267E+03	 1.101699951E+03
 2.688080485E+03	 1.097800049E+03
 2.691731988E+03	 1.091400024E+03
 2.695381776E+03	 1.092599976E+03
 2.699029852E+03	 1.096500000E+03
 2.702676216E+03	 1.090099976E+03
 2.706320869E+03	 1.090699951E+03
 2.709963813E+03	 1.086800049E+03
 2.713605049E+03	 1.094699951E+03
 2.717244579E+03	 1.092300049E+03
 2.720882403E+03	 1.085000000E+03
 2.724518522E+03	 1.097699951E+03
 2.728152939E+03	 1.096900024E+03
 2.731785654E+03	 1.098300049E+03
 2.735416668E+03	 1.095099976E+03
 2.739045983E+03	 1.087300049E+03
 2.742673600E+03	 1.096800049E+03
 2.746299520E+03	 1.086900024E+03
 2.749923744E+03	 1.093599976E+03
 2.753546274E+03	 1.094300049E+03
 2.757167111E+03	 1.099599976E+03
 2.760786255E+03	 1.091199951E+03
 2.764403710E+03	 1.092699951E+03
 2.768019474E+03	 1.092599976E+03
 2.771633550E+03	 1.090900024E+03
 2.775245939E+03	 1.091199951E+03
 2.778856643E+03	 1.096099976E+03
 2.782465661E+03	 1.085300049E+03
 2.786072997E+03	 1.091599976E+03
 2.789678650E+03	 1.089400024E+03
 2.793282621E+03	 1.087599976E+03
 2.796884914E+03	 1.082500000E+03
 2.800485527E+03	 1.082300049E+03
 2.804084464E+03	 1.090599976E+03
 2.807681724E+03	 1.087199951E+03
 2.811277309E+03	 1.087599976E+03
 2.814871220E+03	 1.088800049E+03
 2.818463459E+03	 1.085699951E+03
 2.822054026E+03	 1.090300049E+03
 2.825642924E+03	 1.084599976E+03
 2.829230152E+03	 1.084199951E+03
 2.832815713E+03	 1.091000000E+03
 2.836399607E+03	 1.094900024E+03
 2.839981835E+03	 1.091400024E+03
 2.843562400E+03	 1.085000000E+03
 2.847141301E+03	 1.098000000E+03
 2.850718541E+03	 1.103699951E+03
 2.854294120E+03	 1.091000000E+03
 2.857868040E+03	 1.095800049E+03
 2.861440302E+03	 1.095300049E+03
 2.865010906E+03	 1.097000000E+03
 2.868579855E+03	 1.098599976E+03
 2.872147149E+03	 1.097800049E+03
 2.875712790E+03	 1.094300049E+03
 2.879276779E+03	 1.108300049E+03
 2.882839116E+03	 1.091300049E+03
 2.886399803E+03	 1.101400024E+03
 2.889958842E+03	 1.100099976E+03
 2.893516233E+03	 1.098300049E+03
 2.897071978E+03	 1.102800049E+03
 2.900626077E+03	 1.096800049E+03
 2.904178533E+03	 1.106800049E+03
 2.907729346E+03	 1.095099976E+03
 2.911278517E+03	 1.102400024E+03
 2.914826047E+03	 1.102599976E+03
 2.918371938E+03	 1.097500000E+03
 2.921916191E+03	 1.094300049E+03
 2.925458807E+03	 1.098199951E+03
 2.928999787E+03	 1.103300049E+03
 2.932539133E+03	 1.100000000E+03
 2.936076845E+03	 1.097900024E+03
 2.939612924E+03	 1.098300049E+03
 2.943147373E+03	 1.094099976E+03
 2.946680191E+03	 1.103900024E+03
 2.950211381E+03	 1.096400024E+03
 2.953740943E+03	 1.097800049E+03
 2.957268878E+03	 1.100800049E+03
 2.960795188E+03	 1.095599976E+03
 2.964319874E+03	 1.096500000E+03
