X-Axis	CC7_MI3_H2O
 2.757167111E+03	 1.018400024E+03
 2.760786255E+03	 1.008799988E+03
 2.764403710E+03	 1.013599976E+03
 2.768019474E+03	 1.016400024E+03
 2.771633550E+03	 1.012000000E+03
 2.775245939E+03	 1.011799988E+03
 2.778856643E+03	 1.008700012E+03
 2.782465661E+03	 1.010700012E+03
 2.786072997E+03	 1.004200012E+03
 2.789678650E+03	 1.007700012E+03
 2.793282621E+03	 1.005000000E+03
 2.796884914E+03	 1.007799988E+03
 2.800485527E+03	 1.004299988E+03
 2.804084464E+03	 1.002000000E+03
 2.807681724E+03	 1.008200012E+03
 2.811277309E+03	 1.008000000E+03
 2.814871220E+03	 1.002099976E+03
 2.818463459E+03	 1.001400024E+03
 2.822054026E+03	 1.008200012E+03
 2.825642924E+03	 1.000000000E+03
 2.829230152E+03	 1.002700012E+03
 2.832815713E+03	 1.008700012E+03
 2.836399607E+03	 1.006700012E+03
 2.839981835E+03	 1.002700012E+03
 2.843562400E+03	 1.011099976E+03
 2.847141301E+03	 1.005299988E+03
 2.850718541E+03	 1.004099976E+03
 2.854294120E+03	 1.008799988E+03
 2.857868040E+03	 1.013799988E+03
 2.861440302E+03	 1.006500000E+03
 2.865010906E+03	 1.008900024E+03
 2.868579855E+03	 1.011299988E+03
 2.872147149E+03	 1.015599976E+03
 2.875712790E+03	 1.009599976E+03
 2.879276779E+03	 1.008299988E+03
 2.882839116E+03	 1.011599976E+03
 2.886399803E+03	 1.013799988E+03
 2.889958842E+03	 1.019000000E+03
 2.893516233E+03	 1.018400024E+03
 2.897071978E+03	 1.016200012E+03
 2.900626077E+03	 1.015900024E+03
 2.904178533E+03	 1.015299988E+03
 2.907729346E+03	 1.017200012E+03
 2.911278517E+03	 1.014099976E+03
 2.914826047E+03	 1.017599976E+03
 2.918371938E+03	 1.018599976E+03
 2.921916191E+03	 1.019099976E+03
 2.925458807E+03	 1.015799988E+03
 2.928999787E+03	 1.015900024E+03
 2.932539133E+03	 1.015599976E+03
 2.936076845E+03	 1.016900024E+03
 2.939612924E+03	 1.014799988E+03
 2.943147373E+03	 1.012200012E+03
 2.946680191E+03	 1.009500000E+03
 2.950211381E+03	 1.009500000E+03
 2.953740943E+03	 1.017400024E+03
 2.957268878E+03	 1.015599976E+03
 2.960795188E+03	 1.019700012E+03
 2.964319874E+03	 1.015299988E+03
 2.967842936E+03	 1.012700012E+03
