,pressure,mean,std,variance
879,14.75938438438439,,,
880,14.644722847847845,,,
881,14.530061311311314,,,
882,14.415399774774784,,,
883,14.300738238238239,,,
884,14.186076701701708,,,
885,14.071415165165163,,,
886,13.956753628628633,,,
887,13.842092092092102,,,
888,13.727430555555557,,,
889,13.612769019019026,,,
890,13.498107482482482,,,
891,13.383445945945951,,,
892,13.26878440940942,,,
893,13.154122872872875,,,
894,13.039461336336345,,,
895,12.9247997997998,,,
896,12.81013826326327,,,
897,12.695476726726724,,,
898,12.580815190190194,,,
899,12.466153653653663,,,
900,12.351492117117118,,,
901,12.236830580580587,,,
902,12.122169044044043,,,
903,12.007507507507512,,,
904,11.892845970970981,,,
905,11.778184434434436,,,
906,11.663522897897906,,,
907,11.54886136136136,,,
908,11.43419982482483,,,
909,11.3195382882883,,,
910,11.204876751751755,,,
911,11.090215215215224,,,
912,10.97555367867868,,,
913,10.860892142142148,,,
914,10.746230605605604,,,
915,10.631569069069073,,,
916,10.516907532532542,,,
917,10.402245995995997,,,
918,10.287584459459467,,,
919,10.172922922922922,,,
920,10.058261386386391,,,
921,9.94359984984986,,,
922,9.828938313313316,,,
923,9.714276776776785,,,
924,9.59961524024024,,,
925,9.48495370370371,,,
926,9.370292167167165,,,
927,9.255630630630634,,,
928,9.140969094094103,,,
929,9.026307557557558,,,
930,8.911646021021028,,,
931,8.796984484484483,,,
932,8.682322947947952,,,
933,8.567661411411422,,,
934,8.452999874874877,,,
935,8.338338338338346,,,
936,8.223676801801801,,,
937,8.10901526526527,,,
938,7.99435372872874,,,
939,7.879692192192195,,,
940,7.765030655655664,,,
941,7.650369119119119,,,
942,7.535707582582589,,,
943,7.421046046046044,,,
944,7.306384509509513,,,
945,7.191722972972983,,,
946,7.077061436436438,,,
947,6.962399899899907,,,
948,6.847738363363362,,,
949,6.7330768268268315,,,
950,6.618415290290301,,,
951,6.503753753753756,,,
952,6.389092217217225,,,
953,6.27443068068068,,,
954,6.15976914414415,,,
955,6.045107607607619,,,
956,5.930446071071074,,,
957,5.815784534534544,,,
958,5.701122997997999,,,
959,5.586461461461468,,,
960,5.471799924924923,,,
961,5.3571383883883925,,,
962,5.242476851851862,,,
963,5.127815315315317,,,
964,5.013153778778786,,,
965,4.8984922422422414,,,
966,4.783830705705711,,,
967,4.66916916916918,,,
968,4.554507632632635,,,
969,4.439846096096105,,,
970,4.32518455955956,,,
971,4.210523023023029,,,
972,4.095861486486484,,,
973,3.9811999499499535,,,
974,3.866538413413423,,,
975,3.751876876876878,,,
976,3.6372153403403473,,,
977,3.5225538038038025,,,
978,3.407892267267272,,,
979,3.293230730730741,,,
980,3.1785691941941963,,,
981,3.0639076576576656,,,
982,2.9492461211211207,,,
983,2.83458458458459,,,
984,2.7199230480480594,,,
985,2.6052615115115145,,,
986,2.490599974974984,,,
987,2.375938438438439,,,
988,2.2612769019019083,,,
989,2.1466153653653635,,,
990,2.031953828828833,,,
991,1.9172922922923021,,,
992,1.8026307557557573,,,
993,1.6879692192192266,,,
994,1.5733076826826817,,,
995,1.458646146146151,,,
996,1.3439846096096204,,,
997,1.2293230730730755,,,
998,1.1146615365365449,,,
999,1.0,,,
