SN:0141335,,
Time/s,Pressure/MPa,Temperature/°C
2771.98,60.1670,32.4
2774.98,60.1677,32.4
2777.98,60.1681,32.4
2780.98,60.1686,32.4
2783.98,60.1693,32.4
2786.98,60.1686,32.4
2789.98,60.1693,32.4
2792.98,60.1689,32.4
2795.98,60.1698,32.4
2798.97,60.1711,32.4
2801.97,60.1704,32.4
2804.97,60.1699,32.4
2807.97,60.1706,32.4
2810.97,60.1702,32.4
2813.97,60.1707,32.4
2816.97,60.1706,32.4
2819.97,60.1704,32.4
2822.97,60.1714,32.4
2825.97,60.1724,32.4
2828.98,60.1722,32.4
2831.97,60.1735,32.4
2834.98,60.1737,32.4
2837.98,60.1729,32.4
2840.98,60.1735,32.4
2843.98,60.1733,32.4
2846.97,60.1741,32.4
2849.98,60.1733,32.4
2852.98,60.1751,32.4
2855.98,60.1749,32.4
2858.98,60.1748,32.4
2861.98,60.1748,32.4
2864.98,60.1753,32.4
2867.98,60.1746,32.4
2870.98,60.1752,32.4
2873.98,60.1763,32.4
2876.98,60.1771,32.4
2879.98,60.1771,32.4
2882.98,60.1776,32.4
2885.98,60.1782,32.4
2888.97,60.1782,32.4
2891.97,60.1788,32.4
2894.97,60.1783,32.4
2897.97,60.1778,32.4
2900.98,60.1779,32.4
2903.97,60.1785,32.4
2906.97,60.1779,32.4
2909.97,60.1777,32.4
2912.97,60.1778,32.4
2915.97,60.1774,32.4
2918.97,60.1784,32.4
2921.97,60.1783,32.4
2924.97,60.1779,32.4
2927.97,60.1780,32.4
2930.97,60.1781,32.4
2933.97,60.1796,32.4
2936.97,60.1795,32.4
2939.97,60.1794,32.4
2942.98,60.1796,32.4
2945.97,60.1784,32.4
2948.97,60.1783,32.4
2951.97,60.1766,32.4
2954.97,60.1768,32.4
2957.97,60.1770,32.4
2960.98,60.1778,32.4
2963.97,60.1778,32.4
2966.97,60.1770,32.4
2969.97,60.1760,32.4
2972.97,60.1764,32.4
2975.97,60.1765,32.4
2978.97,60.1759,32.4
2981.98,60.1750,32.4
2984.97,60.1747,32.4
2987.97,60.1742,32.4
2990.97,60.1733,32.4
2993.97,60.1738,32.4
2996.97,60.1733,32.4
2999.97,60.1732,32.4
3002.98,60.1730,32.4
3005.97,60.1729,32.4
3008.97,60.1725,32.4
3011.97,60.1727,32.4
3014.98,60.1802,32.4
3017.98,60.1800,32.4
3020.97,60.1798,32.4
3023.98,60.1815,32.4
3026.98,60.1817,32.4
3029.97,60.1827,32.4
3032.98,60.1816,32.4
