X-Axis	CC14_MI2_H2O_96mw
 1.937624479E+03	 1.286400024E+03
 1.941637608E+03	 1.287199951E+03
 1.945648755E+03	 1.299900024E+03
 1.949657921E+03	 1.295199951E+03
 1.953665108E+03	 1.295099976E+03
 1.957670317E+03	 1.289599976E+03
 1.961673551E+03	 1.292699951E+03
 1.965674810E+03	 1.289400024E+03
 1.969674095E+03	 1.292699951E+03
 1.973671409E+03	 1.296699951E+03
 1.977666753E+03	 1.303699951E+03
 1.981660127E+03	 1.300300049E+03
 1.985651535E+03	 1.302199951E+03
 1.989640976E+03	 1.303300049E+03
 1.993628453E+03	 1.303500000E+03
 1.997613968E+03	 1.314699951E+03
 2.001597520E+03	 1.295199951E+03
 2.005579113E+03	 1.304400024E+03
 2.009558747E+03	 1.307300049E+03
 2.013536424E+03	 1.304000000E+03
 2.017512146E+03	 1.303599976E+03
 2.021485913E+03	 1.306000000E+03
 2.025457727E+03	 1.304900024E+03
 2.029427590E+03	 1.303699951E+03
 2.033395504E+03	 1.305000000E+03
 2.037361469E+03	 1.302800049E+03
 2.041325487E+03	 1.296500000E+03
 2.045287559E+03	 1.307500000E+03
 2.049247687E+03	 1.305900024E+03
 2.053205873E+03	 1.294199951E+03
 2.057162118E+03	 1.304900024E+03
 2.061116423E+03	 1.292000000E+03
 2.065068790E+03	 1.293400024E+03
 2.069019220E+03	 1.300300049E+03
 2.072967714E+03	 1.288500000E+03
 2.076914275E+03	 1.290800049E+03
 2.080858903E+03	 1.294900024E+03
 2.084801600E+03	 1.300099976E+03
 2.088742368E+03	 1.301900024E+03
 2.092681207E+03	 1.300800049E+03
 2.096618120E+03	 1.290599976E+03
 2.100553107E+03	 1.293400024E+03
 2.104486171E+03	 1.301599976E+03
 2.108417312E+03	 1.295199951E+03
 2.112346532E+03	 1.300199951E+03
 2.116273832E+03	 1.300099976E+03
 2.120199215E+03	 1.298900024E+03
 2.124122681E+03	 1.294300049E+03
 2.128044231E+03	 1.308400024E+03
 2.131963868E+03	 1.293699951E+03
 2.135881592E+03	 1.304800049E+03
 2.139797405E+03	 1.295000000E+03
 2.143711309E+03	 1.290400024E+03
 2.147623305E+03	 1.291300049E+03
 2.151533393E+03	 1.292699951E+03
 2.155441577E+03	 1.289599976E+03
 2.159347857E+03	 1.293300049E+03
 2.163252234E+03	 1.294000000E+03
 2.167154710E+03	 1.289199951E+03
 2.171055287E+03	 1.292199951E+03
 2.174953965E+03	 1.285000000E+03
 2.178850747E+03	 1.294800049E+03
 2.182745633E+03	 1.288900024E+03
 2.186638626E+03	 1.291199951E+03
 2.190529726E+03	 1.292900024E+03
 2.194418934E+03	 1.295500000E+03
 2.198306253E+03	 1.285900024E+03
