X-Axis	MS13_2_MI1_H2O
 2.588837366E+03	 1.431599976E+03
 2.592535627E+03	 1.427099976E+03
 2.596232140E+03	 1.426599976E+03
 2.599926906E+03	 1.437199951E+03
 2.603619926E+03	 1.431800049E+03
 2.607311201E+03	 1.431800049E+03
 2.611000734E+03	 1.429699951E+03
 2.614688524E+03	 1.432500000E+03
 2.618374574E+03	 1.432199951E+03
 2.622058885E+03	 1.445699951E+03
 2.625741457E+03	 1.426800049E+03
 2.629422293E+03	 1.429900024E+03
 2.633101393E+03	 1.433500000E+03
 2.636778759E+03	 1.422300049E+03
 2.640454391E+03	 1.438199951E+03
 2.644128292E+03	 1.431300049E+03
 2.647800463E+03	 1.426800049E+03
 2.651470904E+03	 1.433800049E+03
 2.655139617E+03	 1.427099976E+03
 2.658806604E+03	 1.427000000E+03
 2.662471865E+03	 1.436599976E+03
 2.666135402E+03	 1.422199951E+03
 2.669797216E+03	 1.423599976E+03
 2.673457308E+03	 1.432099976E+03
 2.677115680E+03	 1.414699951E+03
 2.680772333E+03	 1.418800049E+03
 2.684427267E+03	 1.425300049E+03
 2.688080485E+03	 1.420500000E+03
 2.691731988E+03	 1.412599976E+03
 2.695381776E+03	 1.417400024E+03
 2.699029852E+03	 1.419099976E+03
 2.702676216E+03	 1.419800049E+03
 2.706320869E+03	 1.418199951E+03
 2.709963813E+03	 1.414300049E+03
 2.713605049E+03	 1.417699951E+03
 2.717244579E+03	 1.418900024E+03
 2.720882403E+03	 1.420400024E+03
 2.724518522E+03	 1.409199951E+03
 2.728152939E+03	 1.410500000E+03
 2.731785654E+03	 1.414599976E+03
 2.735416668E+03	 1.408500000E+03
 2.739045983E+03	 1.414099976E+03
 2.742673600E+03	 1.410800049E+03
 2.746299520E+03	 1.419000000E+03
 2.749923744E+03	 1.419300049E+03
 2.753546274E+03	 1.412000000E+03
 2.757167111E+03	 1.404900024E+03
 2.760786255E+03	 1.416500000E+03
 2.764403710E+03	 1.407000000E+03
 2.768019474E+03	 1.414800049E+03
 2.771633550E+03	 1.412800049E+03
 2.775245939E+03	 1.403900024E+03
 2.778856643E+03	 1.408800049E+03
 2.782465661E+03	 1.401099976E+03
 2.786072997E+03	 1.398199951E+03
 2.789678650E+03	 1.404599976E+03
 2.793282621E+03	 1.404000000E+03
 2.796884914E+03	 1.404599976E+03
 2.800485527E+03	 1.401099976E+03
 2.804084464E+03	 1.397500000E+03
 2.807681724E+03	 1.394400024E+03
 2.811277309E+03	 1.389699951E+03
 2.814871220E+03	 1.396000000E+03
 2.818463459E+03	 1.387699951E+03
 2.822054026E+03	 1.401900024E+03
 2.825642924E+03	 1.390400024E+03
 2.829230152E+03	 1.397800049E+03
 2.832815713E+03	 1.395800049E+03
 2.836399607E+03	 1.397500000E+03
 2.839981835E+03	 1.396599976E+03
 2.843562400E+03	 1.403800049E+03
 2.847141301E+03	 1.395099976E+03
 2.850718541E+03	 1.407400024E+03
 2.854294120E+03	 1.405199951E+03
 2.857868040E+03	 1.410599976E+03
 2.861440302E+03	 1.394000000E+03
 2.865010906E+03	 1.408500000E+03
 2.868579855E+03	 1.410000000E+03
 2.872147149E+03	 1.406800049E+03
 2.875712790E+03	 1.407900024E+03
 2.879276779E+03	 1.408300049E+03
 2.882839116E+03	 1.409800049E+03
 2.886399803E+03	 1.419400024E+03
 2.889958842E+03	 1.417599976E+03
 2.893516233E+03	 1.417099976E+03
 2.897071978E+03	 1.406599976E+03
 2.900626077E+03	 1.415199951E+03
 2.904178533E+03	 1.405099976E+03
 2.907729346E+03	 1.418300049E+03
 2.911278517E+03	 1.408000000E+03
 2.914826047E+03	 1.402199951E+03
 2.918371938E+03	 1.403599976E+03
 2.921916191E+03	 1.410500000E+03
 2.925458807E+03	 1.404599976E+03
 2.928999787E+03	 1.399000000E+03
 2.932539133E+03	 1.395800049E+03
 2.936076845E+03	 1.400800049E+03
 2.939612924E+03	 1.393800049E+03
 2.943147373E+03	 1.403500000E+03
 2.946680191E+03	 1.390900024E+03
 2.950211381E+03	 1.390800049E+03
 2.953740943E+03	 1.380000000E+03
 2.957268878E+03	 1.387400024E+03
 2.960795188E+03	 1.391300049E+03
 2.964319874E+03	 1.383099976E+03
